time,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
1687193099.4559648,-2.7387203082900555,2.1234047378046115,0.2843914779699735,-0.0005651774395734578,-0.00020604229224431542,0.6633183295230487,-0.7483371110935152,0.018704042292878115,-1.9228204548824093,0.00017134596118825726,-0.001992170841692484,-0.001390109812017686,0.8477782631611497
1687193099.555965,-2.7282621492237213,1.931268499806904,0.284370607778367,-0.0005692891838470256,-0.0001184754283869766,0.631945453224489,-0.7750126489434176,0.17396318334691027,-1.9039892146993302,-0.0003635195484374458,-0.0007973580629828034,0.00024547537269571423,0.8457765567101531
1687193099.6559649,-2.701608403789293,1.7397750634564646,0.28441072413914553,-0.0005893975382087835,-0.00021951571056090852,0.6005802299525098,-0.799564251210361,0.3649346037136225,-1.9142012574903056,0.00025442050583533173,0.0014348264338075742,4.9327327167771586e-06,0.7312917194360594
1687193099.7559648,-2.6606429207614224,1.552194646661186,0.28440574361483417,-0.0005218892198344878,-0.0002225530223715213,0.5672241993460954,-0.8235632251248084,0.4722232497552883,-1.8413734695955637,0.00041141111243786174,-0.0016909360412560126,0.0007092478632042754,0.8644942464169174
1687193099.855965,-2.6033360228197853,1.3683368928936415,0.28443406918877095,-0.0005445376049232767,-0.000202303674092744,0.533657378183352,-0.8457005766005431,0.6728849032023655,-1.831288021107698,0.0008823689286292122,0.00250669142432539,-0.0004793896723942652,0.721787511162234
1687193099.9559648,-2.5279273550620087,1.1882877454107397,0.284384377678793,-0.00043697467965737516,-0.00034468406659990424,0.5067066969931185,-0.8621183291569362,0.791486309059026,-1.730683318792103,-8.629894255551247e-06,-0.0010214846284727485,0.0007501401834976646,0.6084147798208954
1687193100.0569649,-2.4446205696892247,1.017733086440375,0.2844027646074418,-0.00041798277982284536,-0.00034695492667452066,0.47866883090554935,-0.8779953617372869,0.8626456709186757,-1.673626409386157,9.164243686536147e-05,0.00039284336457645147,-0.0004287181005212276,0.7097382126909487
1687193100.1559649,-2.348601378687385,0.8490430186047226,0.284438817377478,-0.0004567227980538826,-0.00040229808253192334,0.4476007627456848,-0.8942332954827951,1.0466046888899712,-1.6655175933964983,1.9106578971105487e-05,0.0003904011537095587,9.377200649396419e-05,0.6416079826151031
1687193100.2559648,-2.2346167462823114,0.6861291668125228,0.2843562495480595,-0.0003584552850633109,-0.0006140152202405341,0.4276850645829721,-0.9039275302964154,1.0543454523609221,-1.5601426238894993,-0.0008373518269150623,0.0020649807583353204,0.002718411455058077,0.7000613824294625
1687193100.355965,-2.122842872917622,0.533654975524048,0.2843385469748159,-0.00036416995569912326,-0.0006370125582844325,0.3980706796094579,-0.9173544547395561,1.1937311480030126,-1.481602719232024,6.555435439333541e-06,-0.000202947106544233,-0.0005658416125099325,0.6035844792901738
1687193100.4559648,-1.9986860254001466,0.38810608645520867,0.28434926011554257,-0.00037756844902255655,-0.0006280260466896543,0.3700878204615693,-0.9289964844773936,1.3215703992002172,-1.428967002025775,-5.771320196145709e-05,-8.620021574932404e-05,-0.0005582334752999703,0.5148110561290169
1687193100.5569649,-1.8611208527865242,0.24908583350432054,0.2842909455044614,-0.00027247447669719136,-0.0007989973426570021,0.3505181645308077,-0.9365555529144332,1.306112008986789,-1.3158818775215637,7.913600369732051e-05,-4.933816078752917e-05,-0.00024325681152858762,0.536490197643708
1687193100.6559649,-1.7237721881765955,0.12074037630031664,0.2842766385024463,-0.00023032200698714923,-0.000778239414896061,0.32467310309472025,-0.9458259445701578,1.447439511292225,-1.2661943432418483,-0.00017978316295348698,2.8477236791837127e-05,-0.00023322858969601845,0.6665361067342497
